Language,nx,nt,Lattice_Vol,npx,npt,np_total,nthreads,kvol,Time,Trajectory Time
Fort,8,16,8192,2,4,32,1,256,7462.44711165875,149.248942233175
Fort,12,16,27648,3,4,108,1,256,1545290144,315.3653355
Fort,16,16,65536,4,4,256,1,256,19195.1734321937,383.903468643874
Fort,16,32,131072,4,8,512,1,256,11683.1091319062,389.436971063539
