Language,nx,nt,Lattice_Vol,npx,npt,np_total,nthreads,kvol,Time,Trajectory Time
C,8,16,8192,2,4,32,1,256,5534.894087,110.697882
C,12,16,27648,3,4,108,1,256,13347.019856,266.940397
C,16,16,65536,4,4,256,1,256,15777.314986,315.5463
C,16,32,131072,4,8,512,1,256,17210.67229,344.213446
C,20,32,256000,5,8,1000,1,256,11516.245870,383.874862
