Language,nx,nt,Lattice_vol,npx,npt,np_total,nthreads,kvol,Time,Trajectory Time
C,16,32,131072,4,8,512,1,256,2732.337086,68.308427
C,16,32,131072,4,4,256,1,512,1733.904308,43.347608
C,16,32,131072,2,4,32,1,4096,14105.235249,352.630881
C,16,32,131072,2,2,16,1,8192,22207.499857,555.187496
